name,district,category,tags,search_text
분카샤 을지로점,을지로,dessert_cafe,dessert aesthetic photo,분카샤 을지로점 을지로 dessert_cafe dessert aesthetic photo
스쿠퍼젤라또,서촌,gelato,gelato dessert,스쿠퍼젤라또 서촌 gelato gelato dessert
카페폴리,합정,cafe,coffee minimal,카페폴리 합정 cafe coffee minimal
파크사이드,연남,cafe,rooftop wine date_spot,파크사이드 연남 cafe rooftop wine date_spot
오디티,서교,cafe,minimal quiet,오디티 서교 cafe minimal quiet
피어커피 성수,성수,specialty_coffee,coffee work_friendly,피어커피 성수 성수 specialty_coffee coffee work_friendly
포도빵집,성수,bakery,bakery bread,포도빵집 성수 bakery bakery bread
메쉬커피,성수,specialty_coffee,coffee minimal,메쉬커피 성수 specialty_coffee coffee minimal
비아트 성수,성수,cafe,large_space aesthetic,비아트 성수 성수 cafe large_space aesthetic
와이덴 성수,성수,cafe,dessert coffee,와이덴 성수 성수 cafe dessert coffee
차곡 파티세리,연남,dessert_cafe,dessert french aesthetic,차곡 파티세리 연남 dessert_cafe dessert french aesthetic
팬케익오리지널스토리 한남점,한남,brunch_cafe,brunch pancakes date_spot,팬케익오리지널스토리 한남점 한남 brunch_cafe brunch pancakes date_spot
퀸즈베이커리 옥수점,옥수,bakery,bakery coffee,퀸즈베이커리 옥수점 옥수 bakery bakery coffee
신이도가,서교,cafe,hanok dessert quiet,신이도가 서교 cafe hanok dessert quiet
1인1잔,진관,cafe,hanok view dessert,1인1잔 진관 cafe hanok view dessert
어퍼앤언더,역삼,dessert_cafe,dessert aesthetic,어퍼앤언더 역삼 dessert_cafe dessert aesthetic
프라텔리,역삼,cafe,coffee dessert,프라텔리 역삼 cafe coffee dessert
카페온화 강남점,역삼,cafe,dessert korean_style,카페온화 강남점 역삼 cafe dessert korean_style
블루보틀 역삼,역삼,specialty_coffee,coffee work_friendly,블루보틀 역삼 역삼 specialty_coffee coffee work_friendly
쿠라리에,신사,cafe,minimal aesthetic,쿠라리에 신사 cafe minimal aesthetic
그레이랩,합정,cafe,dessert date_spot,그레이랩 합정 cafe dessert date_spot
도나스데이 본점,수원,dessert_cafe,dessert garden,도나스데이 본점 수원 dessert_cafe dessert garden
스탠딩밀포유,용산,cafe,vintage quiet,스탠딩밀포유 용산 cafe vintage quiet
굿뉴스 카페앤모어,원효,cafe,vintage view,굿뉴스 카페앤모어 원효 cafe vintage view
LOOOP 루프 베이커리 카페,성수,bakery,minimal bakery aesthetic,LOOOP 루프 베이커리 카페 성수 bakery minimal bakery aesthetic
더달달,역삼,dessert_cafe,dessert terrace,더달달 역삼 dessert_cafe dessert terrace
크라프트카페,역삼,cafe,dessert coffee,크라프트카페 역삼 cafe dessert coffee
정월,역삼,cafe,korean_style quiet,정월 역삼 cafe korean_style quiet
그레이스케일커피,역삼,cafe,coffee dessert,그레이스케일커피 역삼 cafe coffee dessert
썸띵어바웃커피,역삼,cafe,coffee aesthetic,썸띵어바웃커피 역삼 cafe coffee aesthetic
마망젤라또 성수점,성수,gelato,gelato dessert,마망젤라또 성수점 성수 gelato gelato dessert
맥코이 성수점,성수,specialty_coffee,coffee vintage,맥코이 성수점 성수 specialty_coffee coffee vintage
스탠다드브레드 성수,성수,bakery,bakery bread,스탠다드브레드 성수 성수 bakery bakery bread
로우커피스탠드,성수,specialty_coffee,coffee minimal,로우커피스탠드 성수 specialty_coffee coffee minimal
퍼프아웃,성수,cafe,aesthetic modern,퍼프아웃 성수 cafe aesthetic modern
업사이드 성수,성수,cafe,dessert aesthetic,업사이드 성수 성수 cafe dessert aesthetic
챔프커피 성수,성수,specialty_coffee,coffee local_favorite,챔프커피 성수 성수 specialty_coffee coffee local_favorite
성수동대림창고갤러리,성수,gallery_cafe,gallery large_space industrial,성수동대림창고갤러리 성수 gallery_cafe gallery large_space industrial
카페씨떼,성수,cafe,dessert aesthetic,카페씨떼 성수 cafe dessert aesthetic
예세솔,성수,specialty_coffee,coffee minimal,예세솔 성수 specialty_coffee coffee minimal
썸이프,대흥,cafe,dessert cozy,썸이프 대흥 cafe dessert cozy
구벼울,양평,cafe,view rooftop nature,구벼울 양평 cafe view rooftop nature
카페연,김포,cafe,hanok garden,카페연 김포 cafe hanok garden
연남동벚꽃집,연남,cafe,flowers photo dessert,연남동벚꽃집 연남 cafe flowers photo dessert
하우스오브바이닐 망원점,망원,cafe,records music quiet,하우스오브바이닐 망원점 망원 cafe records music quiet
프론트서울,신사,cafe,luxury aesthetic,프론트서울 신사 cafe luxury aesthetic
더커피 성수,성수,specialty_coffee,coffee bakery,더커피 성수 성수 specialty_coffee coffee bakery
버터럼부티크광장,광장,cafe,brunch dessert,버터럼부티크광장 광장 cafe brunch dessert
카페 다우드,광장,cafe,quiet work_friendly,카페 다우드 광장 cafe quiet work_friendly
리틀,연남,cafe,minimal specialty_coffee,리틀 연남 cafe minimal specialty_coffee
